algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,dataset_name,intervention_values,intervention_variable,n_synthetic_samples,n_test_samples,synthetic_data_path,target_variable,test_dataset_path,train_dataset_path
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,0,1,,0.0936325112748891,2.526392552034687,0.0565707683563232,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s0.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s0.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,1,2,,0.3699791947770864,9.98277915828258,0.3329174518585205,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s1.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s1.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,2,3,,0.223974309341982,6.043275132367921,0.1869125664234161,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s2.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s2.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,3,4,,0.5482551971841604,14.793022508110784,0.5111934542655945,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s3.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s3.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,4,5,,0.0061856279540807,0.1669006222311808,-0.0308761149644851,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s4.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s4.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,5,6,,0.1179103036951273,3.1814559815550623,-0.1549720466136932,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s5.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s5.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,6,7,,1.356473632676527,36.60037348100564,-1.3935353755950928,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s6.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s6.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,7,8,,0.4537268062662333,12.242457330276862,-0.4907885491847992,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s7.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s7.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,8,9,,0.8269583503175527,22.312991381290185,0.7898966073989868,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s8.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s8.npz
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,9,10,,0.7125431219507009,19.225839527200336,0.675481379032135,-0.0370617429185658,csuite_symprod_simpson,"-2.0,2.0",x1_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s9.npz,x2_0,datasets/global_test_set.npz,datasets/train_ts20_s9.npz
