algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,dataset_name,intervention_values,intervention_variable,n_synthetic_samples,n_test_samples,synthetic_data_path,target_variable,test_dataset_path,train_dataset_path
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,0,1,,0.3309962827162818,0.3052357861838077,1.4153916835784912,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s0.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s0.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,1,2,,0.6740354221863671,0.6215771679319531,0.4103599786758423,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s1.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s1.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,2,3,,0.992302618603222,0.915074536293898,0.0920927822589874,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s2.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s2.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,3,4,,0.6801463287873193,0.6272124801032269,0.4042490720748901,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s3.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s3.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,4,5,,0.6529351991219445,0.6021191150412403,0.4314602017402649,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s4.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s4.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,5,6,,0.3210568350357934,0.2960698973644845,0.763338565826416,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s5.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s5.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,6,7,,0.3842179852919654,0.3543153954604301,1.4686133861541748,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s6.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s6.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,7,8,,0.2114007991356774,0.1949480779497878,0.872994601726532,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s7.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s7.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,8,9,,0.5141918581528588,0.4741737725409216,0.5702035427093506,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s8.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s8.npz
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0",no_graph,0,0,0,20,10,11,,0.9222052317662164,0.8504326291249164,0.162190169095993,1.0843954008622094,csuite_weak_arrows,"0.5,2.5",x7_0,2000,2000,datasets/synthetic/synthetic_vanilla_original_ts20_s10.npz,x8_0,datasets/global_test_set.npz,datasets/train_ts20_s10.npz
