algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,n_synthetic_samples,n_test_samples
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,0,1,,2.867279334126703,0.5753279976731397,2.116450548171997,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,1,2,,0.5028595494639951,0.1009002416543602,5.486589431762695,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,2,3,,1.0389065312755186,0.208459638827041,6.022636413574219,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,3,4,,0.4233941602122861,0.0849552785186261,5.407124042510986,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,4,5,,1.1573880148518008,0.2322332955810129,3.8263418674468994,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,5,6,,3.0601790381061953,0.6140338883484423,1.9235508441925049,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,6,7,,0.3272538614857119,0.0656644459500218,4.656476020812988,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,7,8,,4.042170925198786,0.8110734370969501,0.9415589570999146,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,8,9,,2.0341906977283877,0.408166322367001,2.9495391845703125,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,9,10,,0.3944478464710634,0.0791471158724051,4.589282035827637,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,10,11,,0.4010653925526064,0.080474945878812,4.582664489746094,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,11,12,,1.984468979893915,0.3981895140309243,2.999260902404785,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,12,13,,0.3056092692005556,0.0613213951032988,4.6781206130981445,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,13,14,,1.513768000661127,0.3037419836973418,3.4699618816375732,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,14,15,,2.694438977299921,0.5406470737649881,2.2892909049987793,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,15,16,,2.401750044764288,0.4819181820617659,7.385479927062988,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,16,17,,0.4151930379283506,0.0833096993083514,5.398922920227051,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,17,18,,0.579277558385126,0.1162337389999033,4.404452323913574,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,18,19,,0.9608254862415712,0.1927924484138372,4.022904396057129,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,19,20,,1.594829993189581,0.3200073099575734,6.578559875488281,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,20,21,,3.1627535390269834,0.6346157624353814,8.146483421325684,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,21,22,,0.8952850865733701,0.1796415752292794,5.87901496887207,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,22,23,,2.2556279135334414,0.4525983483866211,2.728101968765259,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,23,24,,1.601571841298334,0.3213600815298648,3.382158041000366,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,24,25,,0.9072079228770812,0.1820339272598457,5.890937805175781,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,25,26,,0.0640078020679872,0.0128433529865515,4.919722080230713,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,26,27,,1.8628857565510195,0.3737934841066828,3.1208441257476807,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,27,28,,0.4497394991505068,0.0902415479514448,4.533990383148193,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,28,29,,1.0579227971446592,0.2122753082790879,6.041652679443359,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,29,30,,0.938683075963251,0.1883495089284999,4.045046806335449,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,30,31,,0.5222173166859072,0.1047844343532196,4.461512565612793,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,31,32,,6.256693320215948,1.2554238427806013,11.240423202514648,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,33,34,,0.648587746678583,0.1301410313151698,4.335142135620117,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,34,35,,1.0437605810749453,0.2094336181385336,3.939969301223755,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,35,36,,1.4404566717731877,0.2890318508010289,3.5432732105255127,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,36,37,,2.2765026522266787,0.4567869258549507,2.7072272300720215,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,37,38,,6.085435195027582,1.221060398285617,-1.1017053127288818,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,38,39,,0.4900846911060732,0.098336928902741,4.493645191192627,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,39,40,,0.4945874643909853,0.0992404235525825,4.489142417907715,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,40,41,,0.3137120770824033,0.0629472472407967,5.2974419593811035,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,41,42,,0.7977681589710635,0.160074518044124,4.185961723327637,4.9837298822987,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,42,43,,1.5483341646778506,0.3106777857638816,3.4353957176208496,4.9837298822987,2000,2000
