algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,ate_difference,ate_relative_error,ate_synthetic,ate_test,n_synthetic_samples,n_test_samples
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,0,1,,2.8640276139199417,0.5753659357346123,2.113722085952759,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,1,2,,0.1868127530038039,0.0375295593927877,4.7909369468688965,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,2,3,,1.2371946627676804,0.2485449726006352,6.214944362640381,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,3,4,,0.9073888117850144,0.1822889591672758,5.885138511657715,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,4,5,,0.3211644833504836,0.0645200146079456,4.656585216522217,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,5,6,,3.1223051493584792,0.627252340437754,1.8554445505142212,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,6,7,,0.1214035695016066,0.0243892475157421,4.856346130371094,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,7,8,,4.02306711129543,0.8082100052958296,0.9546825885772704,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,8,9,,1.816181296628682,0.3648599078164031,3.1615684032440186,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,9,10,,0.1871453578055222,0.037596377698603,5.164895057678223,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,10,11,,0.4806224162161667,0.0965541550288191,5.458372116088867,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,11,12,,1.698461407941548,0.3412106896385296,3.2792882919311523,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,12,13,,0.1970881169259231,0.0395938182530478,4.780661582946777,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,13,14,,0.8327473347603958,0.1672939350047456,4.145002365112305,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,14,15,,2.638453835767476,0.5300495193309842,2.3392958641052246,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,15,16,,2.6432639414847214,0.5310158406623618,7.621013641357422,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,16,17,,0.7949372584402878,0.1596981178986595,5.772686958312988,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,17,18,,0.323696011823384,0.0650285834644643,4.654053688049316,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,18,19,,0.5927227681100051,0.1190744420365618,4.385026931762695,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,19,20,,1.4625254923880415,0.2938125821042074,6.440275192260742,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,20,21,,3.688409929949077,0.7409793887473698,8.666159629821777,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,21,22,,1.3998762423575242,0.2812267242752933,6.377625942230225,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,22,23,,2.1071656887948196,0.4233169234782351,2.870584011077881,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,23,24,,1.284760350507466,0.2581006334127893,3.6929893493652344,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,24,25,,0.9684149081290084,0.1945487351752086,5.946164608001709,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,25,26,,0.3537246043265183,0.0710611472359818,5.331474304199219,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,26,27,,1.566336745542256,0.3146676389900266,3.4114129543304443,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,27,28,,0.2238408381522019,0.0449682791719974,5.201590538024902,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,28,29,,0.7601977641165574,0.1527191622624172,5.737947463989258,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,29,30,,0.3771837895333449,0.0757739565617353,4.6005659103393555,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,30,31,,0.360434407514302,0.0724091063726084,4.617315292358398,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,31,32,,5.8373395258963425,1.1726864301846325,10.815089225769045,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,33,34,,0.0332070643484909,0.0066710996636372,5.010956764221191,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,34,35,,0.9181865399300736,0.1844581578606804,4.059563159942627,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,35,36,,1.7325535958230178,0.3480596053006292,3.2451961040496826,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,36,37,,2.2410856430947463,0.450220637480438,2.736664056777954,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,37,38,,6.2439593022286575,1.2543738995932918,-1.266209602355957,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,38,39,,0.1486042683541457,0.0298537044476033,4.829145431518555,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,39,40,,0.3483875935494582,0.0699889738446205,4.629362106323242,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,40,41,,0.5161114985525925,0.1036836983920247,5.493861198425293,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,41,42,,0.1143156344473679,0.0229653239595979,5.092065334320068,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,42,43,,1.2871659939706008,0.2585839127273753,3.690583705902099,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,43,44,,1.2340158169686477,0.2479063615834693,3.7437338829040527,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,44,45,,0.3609312718331496,0.0725089234282672,4.616818428039551,4.9777496998727,2000,2000
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,45,46,,1.0016430561959426,0.2012240704311746,3.976106643676758,4.9777496998727,2000,2000
