dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,comparison,is_significant
csuite_large_backdoor,20,0.0351949967443943,0.0055372714996338,0.0641799508671975,0.0018820155995474,0.0112920935972848,vanilla_vs_cpdag_minimal,True
csuite_large_backdoor,50,0.0359216816723346,0.0099998503070092,0.0639172284941887,0.0002188512744017,0.0013131076464103,vanilla_vs_cpdag_minimal,True
csuite_large_backdoor,100,0.015158973634243,-0.0020119398832321,0.0337117612361907,0.0212407456292429,0.1062037281462148,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,200,0.0128590762615203,-0.0056703775267815,0.030808001756668,0.065337462250712,0.3266873112535603,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,500,-0.0118114247491467,-0.0352730839591241,0.0123962969441199,0.1878793827604161,0.9393969138020808,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,1000,0.0070659115483868,-0.0057097165923332,0.0203729867935181,0.1546009710035258,0.5040129025334132,vanilla_vs_cpdag_minimal,False
csuite_mixed_confounding,20,-0.1031021140515804,-0.1498394049704075,-0.0578328669071197,1.212628411059642e-07,4.850513644238568e-07,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,50,0.0163523405790328,-0.0098811388015747,0.0458860397338867,0.1251544595595329,0.3754633786785987,vanilla_vs_cpdag_minimal,False
csuite_mixed_confounding,100,0.0282641351222992,0.0088811035715043,0.0499273057542742,0.0003183076176728,0.0015915380883641,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,200,0.017958438185975,-0.000687837600708,0.0375642776489257,0.0135598319100059,0.0542393276400237,vanilla_vs_cpdag_minimal,False
csuite_mixed_confounding,500,0.0323435721676797,0.0154917836189269,0.0495656911768018,1.0850866046279323e-06,6.510519627767595e-06,vanilla_vs_cpdag_minimal,True
csuite_mixed_confounding,1000,0.01937136054039,0.003743588924408,0.0354025180898607,0.0021130686207574,0.0084522744830298,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,20,0.3189266038835048,0.257229283452034,0.3809030081629752,4.482425417016147e-16,1.7929701668064587e-15,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,50,0.3007015975890681,0.2371699884533882,0.3617092370986938,1.0148444729189685e-15,4.059377891675874e-15,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,100,0.1177229346930981,0.0786972616314889,0.1705009179413319,7.25290834204942e-12,2.901163336819768e-11,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,200,0.0388684259951115,0.0140386807024479,0.0668055117130279,2.172993678852733e-05,0.0001303796207311,vanilla_vs_cpdag_minimal,True
csuite_mixed_simpson,500,0.0159103863984347,-0.0040178298950195,0.0380794120728969,0.0404384954349951,0.1617539817399805,vanilla_vs_cpdag_minimal,False
csuite_mixed_simpson,1000,0.0180926024913787,-0.001711310237646,0.0385959446430206,0.0159409059071886,0.0821439811138746,vanilla_vs_cpdag_minimal,False
csuite_nonlin_simpson,20,0.4308838844299316,0.3062004446983337,0.5501172542572021,2.5500003530567317e-14,1.530000211834039e-13,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,50,0.261085914850235,0.1998602747917175,0.3346243500709534,1.172097873494792e-14,4.688391493979167e-14,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,100,0.1565573639869689,0.1203098549842833,0.1935169100761413,2.0598723963699134e-14,8.239489585479656e-14,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,200,0.1114256553649902,0.075448299884796,0.1484740629196166,4.059304369484221e-12,2.4355826216905324e-11,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,500,0.0719151198863983,0.041724750518799,0.1038551673889161,2.9465489920423203e-09,1.767929395225392e-08,vanilla_vs_cpdag_minimal,True
csuite_nonlin_simpson,1000,0.0637476019859314,0.0387685046195985,0.0885818691253663,1.192866449490958e-08,7.157198696945748e-08,vanilla_vs_cpdag_minimal,True
csuite_symprod_simpson,20,-0.0462897403901442,-0.0808044523000717,-0.0118483304977417,0.001336814474236,0.0066840723711801,vanilla_vs_cpdag_minimal,True
csuite_symprod_simpson,50,0.010032795369625,-0.0262518376111983,0.0472565367817878,0.4981839177712257,1.0,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,100,-0.0033876239322126,-0.0287031605839728,0.0217211954295635,0.7155127213140642,1.0,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,200,0.00794343277812,-0.0127006345968693,0.0291097536683082,0.2757356210934105,1.0,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,500,0.0107183954678476,-0.0056936102379112,0.0272550932131707,0.0754672820319289,0.3773364101596446,vanilla_vs_cpdag_minimal,False
csuite_symprod_simpson,1000,0.0109176691081374,-0.0081482729334384,0.0281424018945544,0.1285764395425518,0.642882197712759,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,20,0.022220954298973,-0.0085208266973495,0.0553994327783584,0.0524751380879627,0.2623756904398137,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,50,0.0161508282921276,-0.0067524909973144,0.0395262759728355,0.0648369851313002,0.3241849256565011,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,100,0.0138927024407311,-0.0058007538318633,0.0335767269134521,0.0663479749390851,0.3980878496345108,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,200,0.0179509261348285,0.0013855397701263,0.0351533889770507,0.0057629114160701,0.0314378073127293,vanilla_vs_cpdag_minimal,True
csuite_weak_arrows,500,0.0043944975635968,-0.0102136433124541,0.0205405574841424,0.439153713588891,0.878307427177782,vanilla_vs_cpdag_minimal,False
csuite_weak_arrows,1000,0.0132798254489898,0.0009111982388421,0.0263698178725318,0.0058238706655523,0.0291193533277615,vanilla_vs_cpdag_minimal,True
custom_scm,20,0.819141149520874,0.592485828458063,1.0434521436691284,1.6627115560058022e-14,8.313557780029009e-14,vanilla_vs_cpdag_minimal,True
custom_scm,50,0.6753155803972444,0.5144709778416079,0.8702197074890137,5.588321712651698e-13,2.235328685060679e-12,vanilla_vs_cpdag_minimal,True
custom_scm,100,0.3009499956053378,0.1414179801940918,0.4697171117043339,1.0603101444789758e-05,4.241240577915903e-05,vanilla_vs_cpdag_minimal,True
custom_scm,200,0.0256911945927065,-0.0951902436626035,0.1401260328876894,0.6012349777584516,0.6346210157258283,vanilla_vs_cpdag_minimal,False
custom_scm,500,0.0100243306451996,-0.0596342086791992,0.0804004669189453,0.7727196720119712,0.7727196720119712,vanilla_vs_cpdag_minimal,False
custom_scm,1000,0.0622441983514985,-0.0144617127788144,0.1391947699177187,0.036572773348455,0.1462910933938201,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,20,0.0,0.0,0.0,0.3173105078629141,0.3192850440277892,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,50,0.0,0.0,0.0,0.5967547110461334,1.0,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,100,0.0,0.0,0.0136832892894744,0.336716068457524,0.5606103887070155,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,200,0.0024681389331817,-0.0072346031665802,0.0154639482498169,0.323657340764073,0.6473146815281461,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,500,0.0051029070785153,-0.0064135789871215,0.0157274603843688,0.2163678658886663,0.9393969138020808,vanilla_vs_cpdag_discovered,False
csuite_large_backdoor,1000,-0.0052488148212433,-0.0173297822475433,0.0064118206501007,0.2183322641405815,0.5040129025334132,vanilla_vs_cpdag_discovered,False
csuite_mixed_confounding,20,0.0,0.0,0.0,0.993164392485916,0.993164392485916,vanilla_vs_cpdag_discovered,False
csuite_mixed_confounding,50,0.0,-0.0029596503339709,0.0004695768915116,0.9496682757254056,0.9496682757254056,vanilla_vs_cpdag_discovered,False
csuite_mixed_confounding,100,0.0075557231903076,0.0,0.0263054966926574,0.0727707804950206,0.1455415609900412,vanilla_vs_cpdag_discovered,False
csuite_mixed_confounding,200,0.0094140114504843,-0.007675677537918,0.0282246057428419,0.1676481128039254,0.3352962256078509,vanilla_vs_cpdag_discovered,False
csuite_mixed_confounding,500,0.0172627510745078,-0.0036085844039916,0.0384542827047407,0.0333103059384492,0.0999309178153477,vanilla_vs_cpdag_discovered,False
csuite_mixed_confounding,1000,0.0267869417108594,0.0112817883491516,0.0427800416946411,1.4988931053447025e-05,8.993358632068213e-05,vanilla_vs_cpdag_discovered,True
