dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,comparison,is_significant
csuite_large_backdoor,20,0.0336241275072097,0.0022613983601331,0.0661866068840027,0.0077848024638162,0.0319960939885197,vanilla_vs_dag,True
csuite_large_backdoor,50,0.0432988665997982,0.0203103125095367,0.0666733458638191,2.513066861915294e-06,1.5078401171491763e-05,vanilla_vs_dag,True
csuite_large_backdoor,100,0.0300480127334595,0.0120577216148376,0.0483582615852355,2.493510419546351e-05,0.0001496106251727,vanilla_vs_dag,True
csuite_large_backdoor,200,0.0072462752034771,-0.0091215223073959,0.0243681161742424,0.2396320027601666,1.0,vanilla_vs_dag,False
csuite_large_backdoor,500,0.0044318183829891,-0.0081344842910767,0.0190313160419464,0.378744928929094,1.0,vanilla_vs_dag,False
csuite_large_backdoor,1000,0.0086982890536892,-0.002508622578578,0.0197668760161614,0.0411153431031887,0.13404720555069,vanilla_vs_dag,False
csuite_mixed_confounding,20,-0.0630486086010932,-0.1058735251426697,-0.0265912115573883,0.0001297906266005,0.0005191625064021,vanilla_vs_dag,True
csuite_mixed_confounding,50,0.0370460599660873,0.010486822899431,0.070916008528322,0.0005353945173863,0.0026769725869318,vanilla_vs_dag,True
csuite_mixed_confounding,100,0.0285944847147912,0.0065928812585771,0.0544905181489885,0.0006811279931415,0.0040867679588491,vanilla_vs_dag,True
csuite_mixed_confounding,200,0.0356811823565512,0.0160611156858503,0.0561644847951829,1.1432398190614796e-06,6.859438914368878e-06,vanilla_vs_dag,True
csuite_mixed_confounding,500,0.0336732749380171,0.0156002938747406,0.0517225150503218,1.4317629554607673e-06,8.590577732764604e-06,vanilla_vs_dag,True
csuite_mixed_confounding,1000,0.0230597200114279,0.0092236399650573,0.0375687066949903,0.0001372333021086,0.0005489332084346,vanilla_vs_dag,True
csuite_mixed_simpson,20,0.3475883677601814,0.2733647240102291,0.4169481992721558,8.576774246556677e-16,4.288387123278338e-15,vanilla_vs_dag,True
csuite_mixed_simpson,50,0.3299052429497242,0.2552768873274327,0.4060721956193447,4.3571215496604895e-16,2.6142729297962937e-15,vanilla_vs_dag,True
csuite_mixed_simpson,100,0.144761690288782,0.0960997343063354,0.2010589527189732,1.1566035944560293e-12,6.939621566736176e-12,vanilla_vs_dag,True
csuite_mixed_simpson,200,0.0511301606893539,0.0245460867881775,0.0798071635663508,5.961886908328214e-07,3.5771321449969283e-06,vanilla_vs_dag,True
csuite_mixed_simpson,500,0.024182824999094,0.0001666533052922,0.047792284399271,0.0096238713573493,0.0481193567867469,vanilla_vs_dag,True
csuite_mixed_simpson,1000,0.0211288475543261,0.000822274595499,0.0400506270825862,0.0072457855911389,0.0362289279556948,vanilla_vs_dag,True
csuite_nonlin_simpson,20,0.5253826975822449,0.3586936593055725,0.675006930589676,1.9952894679179096e-12,7.981157871671638e-12,vanilla_vs_dag,True
csuite_nonlin_simpson,50,0.3365726895332336,0.2407537446022035,0.4532347917556762,1.4152626956877276e-14,7.076313478438638e-14,vanilla_vs_dag,True
csuite_nonlin_simpson,100,0.1985129542350768,0.1403686656951903,0.2584930567741392,2.352385455239141e-13,9.409541820956564e-13,vanilla_vs_dag,True
csuite_nonlin_simpson,200,0.0683582425117492,0.0318363904953003,0.1069929943084717,5.305197767222198e-06,2.652598883611099e-05,vanilla_vs_dag,True
csuite_nonlin_simpson,500,0.0042385332584381,-0.0236111626625061,0.0339342951774596,0.6900069147093294,1.0,vanilla_vs_dag,False
csuite_nonlin_simpson,1000,0.0561915292739867,0.0278913974761963,0.085754548072815,1.916077761158827e-06,9.580388805794136e-06,vanilla_vs_dag,True
csuite_symprod_simpson,20,-0.0537918734168633,-0.0934531763195991,-0.0159827917814255,0.0003099931135129,0.0018599586810778,vanilla_vs_dag,True
csuite_symprod_simpson,50,-0.0016723510613665,-0.0358756775427609,0.0393537227064371,0.9314997084840356,1.0,vanilla_vs_dag,False
csuite_symprod_simpson,100,-0.0068305104235187,-0.0340507924556732,0.01978007145226,0.5247177003787094,1.0,vanilla_vs_dag,False
csuite_symprod_simpson,200,0.0013530268874019,-0.0179274007678032,0.0238628871738911,0.8473143893644655,1.0,vanilla_vs_dag,False
csuite_symprod_simpson,500,0.0200544523810967,0.0036157029680907,0.0352049427498132,0.0013855612488474,0.0083133674930847,vanilla_vs_dag,True
csuite_symprod_simpson,1000,0.0126167353903874,-0.0039451662451028,0.0284692365676165,0.042497860233073,0.2124893011653654,vanilla_vs_dag,False
csuite_weak_arrows,20,-0.01178839802742,-0.0339511781930923,0.0096986293792723,0.1429955837300879,0.7149779186504397,vanilla_vs_dag,False
csuite_weak_arrows,50,0.0065864324569702,-0.012326031923294,0.0240100544495508,0.3496726883415898,1.0,vanilla_vs_dag,False
csuite_weak_arrows,100,-0.000419333577156,-0.0130566876931115,0.0124879997773094,0.9205734335120058,1.0,vanilla_vs_dag,False
csuite_weak_arrows,200,-0.0056534817717037,-0.0213643908500671,0.0091864466667175,0.2712171344436851,1.0,vanilla_vs_dag,False
csuite_weak_arrows,500,0.0124257504940032,-0.0007531798277051,0.0246357023715972,0.0190302671161488,0.0761210684645952,vanilla_vs_dag,False
csuite_weak_arrows,1000,-0.0056235453388653,-0.0149515348868445,0.0036096197171136,0.1024260357718117,0.4097041430872468,vanilla_vs_dag,False
custom_scm,20,1.2252784967422483,0.9354267120361328,1.5737511349308413,1.7415252083634366e-17,1.0449151250180618e-16,vanilla_vs_dag,True
custom_scm,50,1.0029163360595703,0.7730791568756104,1.2605977058410645,2.4837256358933878e-17,1.4902353815360324e-16,vanilla_vs_dag,True
custom_scm,100,0.648547296611655,0.4740328788757325,0.864154620228998,1.348933942809135e-16,8.09360365685481e-16,vanilla_vs_dag,True
custom_scm,200,0.2684061527252198,0.1614582538604736,0.3751284646403868,9.756622781503912e-10,5.853973668902347e-09,vanilla_vs_dag,True
custom_scm,500,0.1396291470819672,0.0758634043323915,0.217198371887207,3.806150763030389e-07,2.2836904578182332e-06,vanilla_vs_dag,True
custom_scm,1000,0.1192739224725922,0.0569715070140439,0.1898630095112246,2.270810881407885e-06,1.3624865288447309e-05,vanilla_vs_dag,True
