dataset,source,result_file,train_size,seed,repetition,noise_level,skeleton_recall,skeleton_precision,skeleton_shd,direction_precision,direction_recall,v_structure_precision,v_structure_recall,v_structure_f1,directed_edges,undirected_edges,skeleton_edges,v_structures
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,0,1,,0.25,1.0,6.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,1,2,,0.375,1.0,5.0,,0.0,,0.0,,0.0,3.0,3.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,2,3,,0.125,0.5,8.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,3,4,,0.25,1.0,6.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,5,6,,0.25,1.0,6.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,6,7,,0.25,1.0,6.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,7,8,,0.125,1.0,7.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,8,9,,0.25,1.0,6.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,9,10,,0.125,1.0,7.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,10,11,,0.125,1.0,7.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,11,12,,0.25,1.0,6.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,12,13,,0.125,1.0,7.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,13,14,,0.125,1.0,7.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,14,15,,0.125,1.0,7.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,15,16,,0.125,0.5,8.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,16,17,,0.125,1.0,7.0,,0.0,,0.0,,0.0,1.0,1.0,0.0
csuite_large_backdoor,csuite,causal_experiments/results/interventional_experiment/data/result_csuite_large_backdoor_intervention_experiment_cleaned_reps_100.csv,20,17,18,,0.25,1.0,6.0,,0.0,,0.0,,0.0,2.0,2.0,0.0
