dataset,source,train_size,noise_level,skeleton_recall_mean,skeleton_recall_std,skeleton_precision_mean,skeleton_precision_std,skeleton_shd_mean,skeleton_shd_std,direction_precision_mean,direction_precision_std,direction_recall_mean,direction_recall_std,v_structure_precision_mean,v_structure_precision_std,v_structure_recall_mean,v_structure_recall_std,v_structure_f1_mean,v_structure_f1_std,directed_edges_mean,directed_edges_std,skeleton_edges_mean,skeleton_edges_std,v_structures_mean,v_structures_std,runs,runs_with_directed
csuite_large_backdoor,csuite,20,,0.18875,0.12244226633748079,0.9521072796934865,0.1496292704981238,6.6,1.0540925533894596,0.5,,0.00125,0.012499999999999999,,,0.0,0.0,,,0.02,0.19999999999999998,1.62,1.042336148497521,0.0,0.0,100,1
csuite_large_backdoor,csuite,50,,0.5325,0.12640623146639313,0.9563809523809523,0.09457009600179526,3.95,1.1579762911688178,0.28921568627450983,0.2604044114763417,0.01375,0.04313693840023251,0.0,,0.0,0.0,,,0.37,0.8487066809581683,4.47,1.039181884897437,0.01,0.09999999999999999,100,17
csuite_large_backdoor,csuite,100,,0.78,0.12065687219582982,0.9791666666666667,0.05318254447388138,1.91,1.05500251328151,0.2111111111111111,0.23673819621044162,0.04875,0.09714192210525294,0.0,0.0,0.0,0.0,,,1.53,1.6046334425184108,6.39,1.0239061667867024,0.05,0.26111648393354675,100,57
csuite_large_backdoor,csuite,200,,0.9125,0.09484836382991603,0.9840873015873016,0.04155722894911549,0.83,0.8415353933031088,0.129375,0.18009693729038906,0.0425,0.06699728624083488,0.0,0.0,0.0,0.0,,,2.1,1.4248870236980298,7.43,0.819645156038991,0.04,0.19694638556693242,100,80
csuite_large_backdoor,csuite,500,,0.99625,0.02143082599972068,0.9663055555555556,0.060167253220873046,0.34,0.6231234454607115,0.07102330293819656,0.14591689907403793,0.03875,0.08463938656190603,0.0,0.0,0.0,0.0,,,2.64,1.800785462743489,8.28,0.5519478821831502,0.05,0.21904291355759034,100,94
csuite_large_backdoor,csuite,1000,,1.0,0.0,0.9666666666666667,0.051174020719093175,0.3,0.46056618647183817,0.033680555555555554,0.0828222632535983,0.025,0.06405884289881729,0.0,0.0,0.0,0.0,,,2.6,1.639167071066487,8.3,0.4605661864718385,0.05,0.26111648393354675,100,96
csuite_mixed_confounding,csuite,20,,0.066,0.06391281940932104,0.3782051282051282,0.3601070854765932,10.46,1.1927389750596156,0.3,0.41403933560541256,0.009000000000000001,0.03785938897200183,,,0.0,0.0,,,0.3,0.7177405625652734,1.78,1.0306416555826872,0.0,0.0,100,15
csuite_mixed_confounding,csuite,50,,0.183,0.05135536717202729,0.618,0.22865291356585615,9.55,1.1579762911688178,0.6472222222222223,0.276552854770081,0.07600000000000001,0.08775539926984607,,,0.0,0.0,,,1.25,1.4025589888385144,3.21,1.0376254944182253,0.0,0.0,100,48
csuite_mixed_confounding,csuite,100,,0.22400000000000003,0.042923469599092774,0.6485714285714286,0.15109296640066067,9.13,0.8950481054731703,0.5177551020408163,0.2783068073944279,0.109,0.09330627313348555,,,0.0,0.0,,,2.18,1.5851584377365158,3.61,0.9836542876314612,0.0,0.0,100,70
csuite_mixed_confounding,csuite,200,,0.24,0.05124707431905382,0.5776428571428571,0.159443165921365,9.53,1.2589477729236804,0.444927536231884,0.16768442238135853,0.14200000000000002,0.0698916911002194,0.0,0.0,0.0,0.0,,,3.25,1.1923578203363168,4.33,1.0055904341291844,0.03,0.1714466079977653,100,92
csuite_mixed_confounding,csuite,500,,0.33399999999999996,0.060669663595639654,0.5792420634920635,0.11989352205894488,9.22,1.299417118743958,0.39182299182299185,0.1264753562400779,0.17900000000000002,0.045604802157206865,0.0,0.0,0.0,0.0,,,4.8,1.1459194182538808,5.9,1.1503183573395335,0.05,0.2611164839335468,100,99
csuite_mixed_confounding,csuite,1000,,0.38300000000000006,0.03775251680686371,0.5106071428571428,0.07411464426594112,9.94,1.06192126246571,0.24382936507936506,0.11714684769244445,0.15200000000000002,0.05218459852516183,,,0.0,0.0,,,6.7,1.1849221088495239,7.6,0.9639984073082949,0.0,0.0,100,100
csuite_mixed_simpson,csuite,20,,0.26666666666666666,0.18951174787165365,0.8290043290043291,0.29366362233076865,2.45,0.701729465267237,0.2,0.2581988897471611,0.013333333333333332,0.06564879518897747,,,0.0,0.0,,,0.2,0.6030226891555271,1.05,0.7833494518006402,0.0,0.0,100,10
csuite_mixed_simpson,csuite,50,,0.4333333333333333,0.167506302543202,0.855,0.21504182246635678,2.05,0.6415731927193978,0.23148148148148145,0.23488242396233006,0.016666666666666666,0.07301430451919677,,,0.0,0.0,,,0.23,0.7766152928775693,1.65,0.7961396760860393,0.0,0.0,100,9
csuite_mixed_simpson,csuite,100,,0.46,0.18214336800866462,0.8835,0.1932865234171284,1.93,0.6072790781740129,0.14285714285714285,0.19669894811736077,0.01,0.05714886933258843,,,0.0,0.0,,,0.23,0.8744984132332516,1.69,0.884147709218981,0.0,0.0,100,7
csuite_mixed_simpson,csuite,200,,0.6433333333333333,0.2235063905613736,0.8165,0.18695526932202988,1.67,0.7114503609961949,0.07407407407407407,0.15214515486254615,0.02,0.07956108552531402,,,0.0,0.0,,,0.96,1.632498240443311,2.53,1.0959521481849064,0.0,0.0,100,27
csuite_mixed_simpson,csuite,500,,0.8166666666666668,0.1796304974119065,0.7903333333333333,0.1665518122772596,1.36,0.6893123494842635,0.035256410256410256,0.1035141705724446,0.02,0.07956108552531399,,,0.0,0.0,,,1.98,1.9383425180219613,3.26,1.0310336090692207,0.0,0.0,100,52
csuite_mixed_simpson,csuite,1000,,0.8833333333333333,0.1597908284803674,0.6778333333333333,0.10136705867101954,1.67,0.6521913333934569,0.02934272300469484,0.08345062168600607,0.026666666666666665,0.09088664144809688,,,0.0,0.0,,,2.81,1.8129444770228558,3.97,0.8221061889187952,0.0,0.0,100,71
csuite_nonlin_simpson,csuite,20,,0.31,0.11849221088495242,0.9743589743589745,0.13128772690722937,2.11,0.3993681878855018,0.5,,0.003333333333333333,0.03333333333333334,,,0.0,0.0,,,0.02,0.19999999999999998,0.97,0.4132893427226026,0.0,0.0,100,1
csuite_nonlin_simpson,csuite,50,,0.4,0.13400504203456162,0.9683333333333333,0.11033822097467559,1.88,0.40898988651643614,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1.28,0.55194788218315,0.0,0.0,100,0
csuite_nonlin_simpson,csuite,100,,0.5566666666666666,0.17761987937396406,0.98,0.08951797592365465,1.38,0.582228390745332,0.125,0.25,0.003333333333333333,0.03333333333333334,,,0.0,0.0,,,0.11,0.5485518124198396,1.72,0.569954809479212,0.0,0.0,100,4
csuite_nonlin_simpson,csuite,200,,0.6366666666666666,0.14288199238741417,0.96,0.11078234188139946,1.21,0.49838121792844314,0.14285714285714285,0.2439750182371333,0.006666666666666666,0.04690176471209657,,,0.0,0.0,,,0.21,0.7951240294584376,2.03,0.5765624358421578,0.0,0.0,100,7
