dataset,label,train_size,skeleton_recall,direction_recall,oriented_fraction,direction_precision,runs,runs_with_directed
custom_scm,CSM,20,0.6766666666666665,0.0,0.02955665024630542,0.0,100,3
custom_scm,CSM,50,0.6833333333333332,0.0,0.04878048780487806,0.0,100,5
custom_scm,CSM,100,0.6766666666666665,0.0,0.02955665024630542,0.0,100,3
custom_scm,CSM,200,0.67,0.0,0.009950248756218907,0.0,100,1
custom_scm,CSM,500,0.67,0.0,0.009950248756218907,0.0,100,1
custom_scm,CSM,1000,0.6666666666666665,0.0,0.0,,100,0
csuite_large_backdoor,CLB,20,0.18875,0.00125,0.012345679012345678,0.5,100,1
csuite_large_backdoor,CLB,50,0.5325,0.01375,0.08277404921700224,0.2892156862745098,100,17
csuite_large_backdoor,CLB,100,0.78,0.04875,0.23943661971830987,0.2111111111111111,100,57
csuite_large_backdoor,CLB,200,0.9125,0.0425,0.28263795423956933,0.129375,100,80
csuite_large_backdoor,CLB,500,0.99625,0.03875,0.31884057971014496,0.0710233029381965,100,94
csuite_large_backdoor,CLB,1000,1.0,0.025,0.3132530120481928,0.0336805555555555,100,96
csuite_mixed_confounding,CMC,20,0.066,0.009,0.16853932584269662,0.3,100,15
csuite_mixed_confounding,CMC,50,0.183,0.076,0.3894080996884735,0.6472222222222223,100,48
csuite_mixed_confounding,CMC,100,0.224,0.109,0.6038781163434904,0.5177551020408163,100,70
csuite_mixed_confounding,CMC,200,0.24,0.142,0.7505773672055427,0.444927536231884,100,92
csuite_mixed_confounding,CMC,500,0.3339999999999999,0.179,0.8135593220338982,0.3918229918229918,100,99
csuite_mixed_confounding,CMC,1000,0.383,0.152,0.8815789473684211,0.243829365079365,100,100
csuite_mixed_simpson,CMS,20,0.2666666666666666,0.0133333333333333,0.19047619047619047,0.2,100,10
csuite_mixed_simpson,CMS,50,0.4333333333333333,0.0166666666666666,0.1393939393939394,0.2314814814814814,100,9
csuite_mixed_simpson,CMS,100,0.46,0.01,0.13609467455621302,0.1428571428571428,100,7
csuite_mixed_simpson,CMS,200,0.6433333333333333,0.02,0.37944664031620556,0.074074074074074,100,27
csuite_mixed_simpson,CMS,500,0.8166666666666668,0.02,0.6073619631901841,0.0352564102564102,100,52
csuite_mixed_simpson,CMS,1000,0.8833333333333333,0.0266666666666666,0.707808564231738,0.0293427230046948,100,71
csuite_nonlin_simpson,CNS,20,0.31,0.0033333333333333,0.020618556701030927,0.5,100,1
csuite_nonlin_simpson,CNS,50,0.4,0.0,0.0,,100,0
csuite_nonlin_simpson,CNS,100,0.5566666666666666,0.0033333333333333,0.06395348837209303,0.125,100,4
csuite_nonlin_simpson,CNS,200,0.6366666666666666,0.0066666666666666,0.10344827586206898,0.1428571428571428,100,7
csuite_nonlin_simpson,CNS,500,0.7133333333333333,0.0,0.19534883720930232,0.0,100,14
csuite_nonlin_simpson,CNS,1000,0.83,0.0,0.588,0.0,100,49
csuite_symprod_simpson,CSS,20,0.3766666666666666,0.0133333333333333,0.052631578947368425,0.6666666666666666,100,3
csuite_symprod_simpson,CSS,50,0.4966666666666666,0.0866666666666666,0.17105263157894737,1.0,100,13
csuite_symprod_simpson,CSS,100,0.67,0.06,0.11940298507462688,0.75,100,12
csuite_symprod_simpson,CSS,200,0.6733333333333333,0.0,0.019417475728155338,0.0,100,2
csuite_symprod_simpson,CSS,500,0.6666666666666665,0.0,0.0,,100,0
csuite_symprod_simpson,CSS,1000,0.67,0.0,0.009900990099009901,0.0,100,1
csuite_weak_arrows,CWA,20,0.135,0.0057142857142857,0.10050251256281408,0.4,100,10
csuite_weak_arrows,CWA,50,0.4271428571428571,0.02,0.13980263157894737,0.3071428571428571,100,35
csuite_weak_arrows,CWA,100,0.5007142857142857,0.0121428571428571,0.15134370579915135,0.1187943262411347,100,47
csuite_weak_arrows,CWA,200,0.5314285714285714,0.0135714285714285,0.18872870249017037,0.1071428571428571,100,63
csuite_weak_arrows,CWA,500,0.5757142857142857,0.0092857142857142,0.29411764705882354,0.0227954144620811,100,99
csuite_weak_arrows,CWA,1000,0.5771428571428571,0.0078571428571428,0.2796092796092796,0.0226190476190476,100,100
