dataset,label,train_size,skeleton_recall_published,direction_recall_published,oriented_fraction_published,direction_precision_published,runs_published,runs_with_directed_published,skeleton_recall_new,direction_recall_new,oriented_fraction_new,direction_precision_new,runs_new,runs_with_directed_new,skeleton_recall_delta,skeleton_recall_published_2dp,skeleton_recall_new_2dp,skeleton_recall_changed_2dp,direction_recall_delta,direction_recall_published_2dp,direction_recall_new_2dp,direction_recall_changed_2dp,oriented_fraction_delta,oriented_fraction_published_2dp,oriented_fraction_new_2dp,oriented_fraction_changed_2dp,direction_precision_delta,direction_precision_published_2dp,direction_precision_new_2dp,direction_precision_changed_2dp
custom_scm,CSM,20,0.6766666666666665,0.0,0.02955665024630542,0.0,100,3,0.6766666666666665,0.0,0.02955665024630542,0.0,100,3,0.0,0.68,0.68,False,0.0,0.0,0.0,False,0.0,0.03,0.03,False,0.0,0.0,0.0,False
custom_scm,CSM,50,0.6833333333333332,0.0,0.04878048780487806,0.0,100,5,0.6833333333333332,0.0,0.04878048780487806,0.0,100,5,0.0,0.68,0.68,False,0.0,0.0,0.0,False,0.0,0.05,0.05,False,0.0,0.0,0.0,False
custom_scm,CSM,100,0.6766666666666665,0.0,0.02955665024630542,0.0,100,3,0.6766666666666665,0.0,0.02955665024630542,0.0,100,3,0.0,0.68,0.68,False,0.0,0.0,0.0,False,0.0,0.03,0.03,False,0.0,0.0,0.0,False
custom_scm,CSM,200,0.67,0.0,0.009950248756218907,0.0,100,1,0.67,0.0,0.009950248756218907,0.0,100,1,0.0,0.67,0.67,False,0.0,0.0,0.0,False,0.0,0.01,0.01,False,0.0,0.0,0.0,False
custom_scm,CSM,500,0.67,0.0,0.009950248756218907,0.0,100,1,0.67,0.0,0.009950248756218907,0.0,100,1,0.0,0.67,0.67,False,0.0,0.0,0.0,False,0.0,0.01,0.01,False,0.0,0.0,0.0,False
custom_scm,CSM,1000,0.6666666666666665,0.0,0.0,,100,0,0.6666666666666665,0.0,0.0,,100,0,0.0,0.67,0.67,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,,,,False
csuite_large_backdoor,CLB,20,0.18875,0.00125,0.012345679012345678,0.5,100,1,0.18875,0.00125,0.012345679012345678,0.5,100,1,0.0,0.19,0.19,False,0.0,0.0,0.0,False,0.0,0.01,0.01,False,0.0,0.5,0.5,False
csuite_large_backdoor,CLB,50,0.5325,0.01375,0.08277404921700224,0.2892156862745098,100,17,0.5325,0.01375,0.08277404921700224,0.2892156862745098,100,17,0.0,0.53,0.53,False,0.0,0.01,0.01,False,0.0,0.08,0.08,False,0.0,0.29,0.29,False
csuite_large_backdoor,CLB,100,0.78,0.04875,0.23943661971830987,0.2111111111111111,100,57,0.78,0.04875,0.23943661971830987,0.2111111111111111,100,57,0.0,0.78,0.78,False,0.0,0.05,0.05,False,0.0,0.24,0.24,False,0.0,0.21,0.21,False
csuite_large_backdoor,CLB,200,0.9125,0.0425,0.28263795423956933,0.129375,100,80,0.9125,0.0425,0.28263795423956933,0.129375,100,80,0.0,0.91,0.91,False,0.0,0.04,0.04,False,0.0,0.28,0.28,False,0.0,0.13,0.13,False
csuite_large_backdoor,CLB,500,0.99625,0.03875,0.31884057971014496,0.0710233029381965,100,94,0.99625,0.03875,0.31884057971014496,0.0710233029381965,100,94,0.0,1.0,1.0,False,0.0,0.04,0.04,False,0.0,0.32,0.32,False,0.0,0.07,0.07,False
csuite_large_backdoor,CLB,1000,1.0,0.025,0.3132530120481928,0.0336805555555555,100,96,1.0,0.025,0.3132530120481928,0.0336805555555555,100,96,0.0,1.0,1.0,False,0.0,0.02,0.02,False,0.0,0.31,0.31,False,0.0,0.03,0.03,False
csuite_mixed_confounding,CMC,20,0.066,0.009,0.16853932584269662,0.3,100,15,0.066,0.009,0.16853932584269662,0.3,100,15,0.0,0.07,0.07,False,0.0,0.01,0.01,False,0.0,0.17,0.17,False,0.0,0.3,0.3,False
csuite_mixed_confounding,CMC,50,0.183,0.076,0.3894080996884735,0.6472222222222223,100,48,0.183,0.076,0.3894080996884735,0.6472222222222223,100,48,0.0,0.18,0.18,False,0.0,0.08,0.08,False,0.0,0.39,0.39,False,0.0,0.65,0.65,False
csuite_mixed_confounding,CMC,100,0.224,0.109,0.6038781163434904,0.5177551020408163,100,70,0.224,0.109,0.6038781163434904,0.5177551020408163,100,70,0.0,0.22,0.22,False,0.0,0.11,0.11,False,0.0,0.6,0.6,False,0.0,0.52,0.52,False
csuite_mixed_confounding,CMC,200,0.24,0.142,0.7505773672055427,0.444927536231884,100,92,0.24,0.142,0.7505773672055427,0.444927536231884,100,92,0.0,0.24,0.24,False,0.0,0.14,0.14,False,0.0,0.75,0.75,False,0.0,0.44,0.44,False
csuite_mixed_confounding,CMC,500,0.3339999999999999,0.179,0.8135593220338982,0.3918229918229918,100,99,0.3339999999999999,0.179,0.8135593220338982,0.3918229918229918,100,99,0.0,0.33,0.33,False,0.0,0.18,0.18,False,0.0,0.81,0.81,False,0.0,0.39,0.39,False
csuite_mixed_confounding,CMC,1000,0.383,0.152,0.8815789473684211,0.243829365079365,100,100,0.383,0.152,0.8815789473684211,0.243829365079365,100,100,0.0,0.38,0.38,False,0.0,0.15,0.15,False,0.0,0.88,0.88,False,0.0,0.24,0.24,False
csuite_mixed_simpson,CMS,20,0.2666666666666666,0.0133333333333333,0.19047619047619047,0.2,100,10,0.2666666666666666,0.0133333333333333,0.19047619047619047,0.2,100,10,0.0,0.27,0.27,False,0.0,0.01,0.01,False,0.0,0.19,0.19,False,0.0,0.2,0.2,False
csuite_mixed_simpson,CMS,50,0.4333333333333333,0.0166666666666666,0.1393939393939394,0.2314814814814814,100,9,0.4333333333333333,0.0166666666666666,0.1393939393939394,0.2314814814814814,100,9,0.0,0.43,0.43,False,0.0,0.02,0.02,False,0.0,0.14,0.14,False,0.0,0.23,0.23,False
