dataset,algorithm,column_order,train_size,seed,fit_sample_seconds,total_seconds,correlation_matrix_difference,k_marginal_tvd,nnaa
custom_scm,causaldifftab,unconditional,20,0,2183.590845346451,2224.8636939525604,1.2816122165679122,0.5048333333333335,0.9655
custom_scm,causaldifftab,unconditional,20,1,2407.048262834549,2407.4878232479095,0.9530206336907304,0.5044166666666667,0.968
custom_scm,causaldifftab,unconditional,20,2,2510.0985243320465,2510.5072844028473,1.1417785785938104,0.5441666666666668,0.973
custom_scm,causaldifftab,unconditional,20,3,2489.8184077739716,2490.2392134666443,0.8162403165254742,0.6116666666666667,0.9695
custom_scm,causaldifftab,unconditional,20,4,2689.9306161403656,2690.4815561771393,1.1220932216786106,0.5455833333333334,0.9695
custom_scm,causaldifftab,unconditional,20,5,2309.753392457962,2350.703452348709,0.9798038471957088,0.5370833333333334,0.9725
custom_scm,causaldifftab,unconditional,20,6,2451.8194065093994,2452.1550538539886,1.1495128617530253,0.5325000000000001,0.968
custom_scm,causaldifftab,unconditional,20,7,2579.993764400482,2580.310142993927,1.1896977879148691,0.5475833333333334,0.9685
custom_scm,causaldifftab,unconditional,20,8,2770.020082950592,2770.344913005829,1.2807934932519889,0.5435833333333333,0.97275
custom_scm,causaldifftab,unconditional,20,9,2923.7142975330353,2924.042916536331,0.7742436883132636,0.5320000000000001,0.96675
custom_scm,causaldifftab,unconditional,20,10,2309.781949996948,2350.741047859192,1.0510547571994848,0.5342500000000001,0.97575
custom_scm,causaldifftab,unconditional,20,11,2466.5341458320618,2466.8590631484985,1.009051230970821,0.4898333333333333,0.961
custom_scm,causaldifftab,unconditional,20,12,2788.418361902237,2788.7321479320526,0.6551227531612829,0.5498333333333334,0.93925
custom_scm,causaldifftab,unconditional,20,13,2745.527359008789,2745.862370491028,1.19017184210256,0.5309166666666667,0.969
custom_scm,causaldifftab,unconditional,20,14,2726.265827178955,2726.5871257781982,1.1299431058530542,0.5834166666666668,0.97125
custom_scm,causaldifftab,unconditional,20,15,2877.79310965538,2918.806350708008,1.1009201790431602,0.4950833333333334,0.96375
custom_scm,causaldifftab,unconditional,20,16,3074.3268411159515,3075.075829744339,0.8584620103777227,0.5081666666666668,0.96775
custom_scm,causaldifftab,unconditional,20,17,3069.0665154457092,3069.443695306778,1.2446732623148435,0.5244166666666668,0.97025
custom_scm,causaldifftab,unconditional,20,18,2899.6595907211304,2900.5102474689484,0.7763522274522269,0.57475,0.96275
custom_scm,causaldifftab,unconditional,20,19,2920.1687738895416,2920.6524477005005,1.069204696208347,0.5424166666666667,0.97
custom_scm,causaldifftab,unconditional,20,20,2241.9167420864105,2283.159655570984,0.7953819860122143,0.5123333333333333,0.96275
custom_scm,causaldifftab,unconditional,20,21,2481.741037607193,2482.067404985428,1.044728922001801,0.5249166666666666,0.95775
custom_scm,causaldifftab,unconditional,20,22,2759.8614168167114,2760.2155220508575,0.9502073431976488,0.5231666666666667,0.9635
custom_scm,causaldifftab,unconditional,20,23,2749.9865550994873,2751.178615808487,1.197590232725421,0.5793333333333335,0.97625
custom_scm,causaldifftab,unconditional,20,24,2936.260733127594,2937.0000212192535,1.0794342945000388,0.5885000000000001,0.9695
custom_scm,causaldifftab,unconditional,20,25,2241.8750767707825,2283.159759759903,0.9106764478250418,0.5248333333333334,0.9635
custom_scm,causaldifftab,unconditional,20,26,2444.9676418304443,2445.420294523239,1.1043488162682356,0.5249166666666667,0.97
custom_scm,causaldifftab,unconditional,20,27,2503.2765028476715,2503.9570031166077,1.6645929761857834,0.51375,0.96825
custom_scm,causaldifftab,unconditional,20,28,3102.998539686203,3103.412256717682,0.9943127063017448,0.5224166666666668,0.962
custom_scm,causaldifftab,unconditional,20,29,3022.80287027359,3023.1199061870575,1.139514898099946,0.49325,0.965
custom_scm,causaldifftab,unconditional,20,31,3240.7678570747375,3289.003526210785,1.368770941534496,0.57425,0.973
custom_scm,causaldifftab,unconditional,20,32,3286.6196167469025,3286.977705717087,1.2661348539995496,0.56575,0.968
custom_scm,causaldifftab,unconditional,20,33,3357.260842561722,3357.804713010788,0.8200982933268965,0.5046666666666667,0.95875
custom_scm,causaldifftab,unconditional,20,34,3146.7351727485657,3147.1524987220764,0.4898414046972341,0.5040000000000001,0.91525
custom_scm,causaldifftab,unconditional,20,35,3326.377760887146,3326.768851995468,0.8054516941463755,0.54025,0.95775
custom_scm,causaldifftab,unconditional,20,36,3036.755414247513,3084.3804473876953,1.1016273724751633,0.5236666666666667,0.9705
custom_scm,causaldifftab,unconditional,20,37,3069.750900030136,3070.0745754241943,1.2779548981598103,0.5314166666666668,0.9665
custom_scm,causaldifftab,unconditional,20,38,2975.3782007694244,2975.770517349243,0.9411802014045888,0.5335833333333334,0.966
custom_scm,causaldifftab,unconditional,20,39,2996.9426572322845,2997.512904405594,0.9367831652253876,0.5160833333333333,0.9515
custom_scm,causaldifftab,unconditional,20,40,3021.8186089992523,3022.153354883194,1.614175922514713,0.5710000000000001,0.9725
custom_scm,causaldifftab,unconditional,20,41,2204.3489818573,2252.2291009426117,0.906901641646129,0.4957500000000001,0.95775
custom_scm,causaldifftab,unconditional,20,42,3033.2908346652985,3033.723053216934,1.0944257390224883,0.5553333333333333,0.97575
custom_scm,causaldifftab,unconditional,20,43,3532.3173654079437,3532.6794204711914,1.2231178439103332,0.539,0.97125
custom_scm,causaldifftab,unconditional,20,44,3511.3786709308624,3511.983999490738,1.0695116207361557,0.4955833333333334,0.96725
custom_scm,causaldifftab,unconditional,20,45,3201.8453788757324,3202.193449497223,1.0864602748745424,0.4995833333333334,0.9615
custom_scm,causaldifftab,unconditional,20,46,2220.1669681072235,2271.86429476738,0.839660715895473,0.494,0.96525
custom_scm,causaldifftab,unconditional,20,47,2274.602015733719,2274.938656806946,0.2003671983513763,0.4193333333333333,0.869
custom_scm,causaldifftab,unconditional,20,48,2314.7929952144623,2316.5678708553314,0.9478157795296088,0.4769166666666667,0.95175
custom_scm,causaldifftab,unconditional,20,49,2369.6764171123505,2370.1772916316986,1.2398707487136302,0.5645,0.97175
custom_scm,causaldifftab,unconditional,20,50,2344.1103127002716,2344.5343446731567,1.2585494494698994,0.5084166666666667,0.9715
custom_scm,causaldifftab,unconditional,20,51,1956.1548643112185,2004.1938569545744,1.0901724714524563,0.5655000000000001,0.96675
custom_scm,causaldifftab,unconditional,20,52,2049.7889194488525,2050.4716165065765,1.006347845803565,0.5170833333333335,0.9675
custom_scm,causaldifftab,unconditional,20,53,2211.5942118167877,2211.9818131923676,0.924407503812222,0.5216666666666667,0.95475
custom_scm,causaldifftab,unconditional,20,54,2613.42045378685,2613.854240655899,2.116385264960484,0.4998333333333334,0.975
custom_scm,causaldifftab,unconditional,20,55,2212.1819972991943,2212.536541223526,0.9689263446062384,0.5145000000000001,0.96725
custom_scm,causaldifftab,unconditional,20,56,2235.4300746917725,2283.1670088768005,0.9485928280872196,0.5128333333333334,0.96575
custom_scm,causaldifftab,unconditional,20,57,2588.9950602054596,2589.338247060776,1.1450361630469073,0.6293333333333333,0.97675
custom_scm,causaldifftab,unconditional,20,58,2705.171025276184,2705.502100467682,1.0617169535744733,0.5489166666666667,0.9685
custom_scm,causaldifftab,unconditional,20,59,2694.5912640094757,2694.9574041366577,0.9761184401953694,0.5071666666666668,0.96725
custom_scm,causaldifftab,unconditional,20,61,2722.243674516678,2722.5713806152344,1.29304293889732,0.556,0.971
custom_scm,causaldifftab,unconditional,20,62,2565.647231578827,2613.7721724510193,0.8417739438063794,0.5306666666666667,0.96375
custom_scm,causaldifftab,unconditional,20,63,2805.4775512218475,2805.833638191223,0.1626938809360199,0.4566666666666667,0.87075
custom_scm,causaldifftab,unconditional,20,64,2971.8945002555847,2972.3648455142975,0.7292896083172697,0.5020833333333333,0.95525
custom_scm,causaldifftab,unconditional,20,65,3053.7501027584076,3054.079070329666,1.0374333231743769,0.542,0.9735
custom_scm,causaldifftab,unconditional,20,66,3101.6629173755646,3101.988431930542,1.1129266806811324,0.5142500000000001,0.96975
custom_scm,causaldifftab,unconditional,20,67,2588.9038560390472,2636.7965846061707,0.5368056552719261,0.5531666666666667,0.92925
custom_scm,causaldifftab,unconditional,20,68,2822.6610054969788,2823.059719085694,0.897656094232409,0.51225,0.95975
custom_scm,causaldifftab,unconditional,20,69,2905.797929286957,2906.148942708969,0.1935152116522077,0.4901666666666666,0.9265
custom_scm,causaldifftab,unconditional,20,70,2829.721202135086,2830.093042373657,0.3436879010649555,0.5496666666666666,0.92
custom_scm,causaldifftab,unconditional,20,71,2831.510024547577,2833.4511687755585,1.2011226567326894,0.5211666666666667,0.9745
custom_scm,causaldifftab,unconditional,20,72,2770.18305850029,2817.766483783722,1.2087413610501463,0.5458333333333334,0.96675
custom_scm,causaldifftab,unconditional,20,73,2862.475098848343,2862.8016452789307,0.9140245064010384,0.5745833333333334,0.97725
custom_scm,causaldifftab,unconditional,20,74,2968.212480068207,2968.5398302078247,0.6442118194049562,0.5174166666666667,0.93475
custom_scm,causaldifftab,unconditional,20,75,2987.026876926422,2987.3511097431183,1.1698440314467144,0.5305000000000001,0.976
custom_scm,causaldifftab,unconditional,20,76,3009.4403009414673,3009.7964079380035,0.7237047341348629,0.5194166666666667,0.94925
custom_scm,causaldifftab,unconditional,20,77,2732.757080554962,2780.8757271766663,0.9536570849018666,0.54425,0.95425
custom_scm,causaldifftab,unconditional,20,78,2857.4322140216827,2857.819254398346,1.9084936096514251,0.5126666666666667,0.972
custom_scm,causaldifftab,unconditional,20,79,2947.205412387848,2947.7689678668976,0.9508592514621182,0.5243333333333334,0.967
custom_scm,causaldifftab,unconditional,20,80,3017.67205786705,3018.316106557846,1.0862215731533025,0.5036666666666667,0.9565
custom_scm,causaldifftab,unconditional,20,81,3029.697347640991,3030.3235142230988,0.884573097461244,0.5080833333333333,0.9575
custom_scm,causaldifftab,unconditional,20,82,2732.7371118068695,2780.8757288455963,0.248041355646252,0.45675,0.8815
custom_scm,causaldifftab,unconditional,20,83,2889.116386651993,2889.448681116104,1.0728448763164689,0.55625,0.9725
custom_scm,causaldifftab,unconditional,20,84,3010.697612285614,3011.0300555229187,0.7394687034932673,0.5318333333333334,0.9595
custom_scm,causaldifftab,unconditional,20,85,2999.0150504112244,2999.3459298610687,0.8871855081344577,0.5285833333333333,0.9555
custom_scm,causaldifftab,unconditional,20,86,3017.4794540405273,3017.7955837249756,2.204007033392903,0.5307499999999999,0.9745
custom_scm,causaldifftab,unconditional,20,87,2469.042368888855,2516.9413845539093,1.0812208960137184,0.5044166666666667,0.96575
custom_scm,causaldifftab,unconditional,20,88,2983.5409214496613,2984.152500152588,2.092651531949903,0.537,0.971
custom_scm,causaldifftab,unconditional,20,89,3118.5122394561768,3118.91712641716,1.1626842460967168,0.5119166666666667,0.96325
custom_scm,causaldifftab,unconditional,20,90,3053.9071798324585,3054.3656668663025,1.0756379064281678,0.5578333333333334,0.96575
custom_scm,causaldifftab,unconditional,20,91,3035.4493539333344,3035.8620641231537,1.244848584086523,0.51825,0.962
custom_scm,causaldifftab,unconditional,20,92,3010.1577274799347,3051.8165876865387,1.8593419488664211,0.5234166666666668,0.964
custom_scm,causaldifftab,unconditional,20,93,3093.2118215560913,3093.6606662273407,1.0903334853495756,0.5316666666666667,0.90175
custom_scm,causaldifftab,unconditional,20,94,3172.413863658905,3175.988088130951,0.5698079317223836,0.4800833333333334,0.93925
custom_scm,causaldifftab,unconditional,20,96,3112.2867455482483,3112.8048810958862,1.4290740007507945,0.5185,0.97125
custom_scm,causaldifftab,unconditional,20,97,3130.6928544044495,3131.0519802570343,0.7946105784261223,0.521,0.943
custom_scm,causaldifftab,unconditional,20,98,2815.5209822654724,2857.304117679596,0.6546614685181154,0.56225,0.9575
custom_scm,causaldifftab,unconditional,20,99,2752.5343317985535,2752.8576860427856,1.0458641916068223,0.5454166666666667,0.966
custom_scm,causaldifftab,unconditional,20,100,2816.608398914337,2816.9440579414368,0.7065519737711988,0.5110833333333334,0.94825
custom_scm,causaldifftab,unconditional,20,101,2857.659162044525,2858.2193973064423,1.2061227792209317,0.5140833333333333,0.97225
custom_scm,causaldifftab,unconditional,20,102,2828.641453266144,2829.125362634659,0.6159598446433563,0.4938333333333333,0.9385
custom_scm,causaldifftab,unconditional,50,120,2877.3398756980896,2919.2649807929993,0.2988053251126871,0.3295,0.7164999999999999
custom_scm,causaldifftab,unconditional,50,121,2920.0381197929382,2921.097135782242,1.3637207074981683,0.4590833333333333,0.967
custom_scm,causaldifftab,unconditional,50,122,2908.268529176712,2908.7589886188507,0.3303244286765568,0.3458333333333334,0.73675
custom_scm,causaldifftab,unconditional,50,123,2953.2099902629852,2953.922999858856,0.176271319597318,0.3760833333333333,0.7875000000000001
custom_scm,causaldifftab,unconditional,50,124,2978.6852066516876,2980.658394575119,0.4061987880129051,0.3215,0.75875
