dataset,algorithm,column_order,train_size,seed,fit_sample_seconds,total_seconds,correlation_matrix_difference,k_marginal_tvd,nnaa
custom_scm,decaf,known_dag,20,0,87.90700030326843,193.43399500846863,2.203767130973514,0.9981666666666666,1.0
custom_scm,decaf,known_dag,20,1,3.84135627746582,4.164977788925171,2.3057927105191895,0.9979166666666668,1.0
custom_scm,decaf,known_dag,20,2,4.044729232788086,4.34600830078125,2.3242619006262286,0.9973333333333332,1.0
custom_scm,decaf,known_dag,20,3,3.830437421798706,4.128954648971558,2.2373331850735254,0.9975833333333334,1.0
custom_scm,decaf,known_dag,20,4,3.593068838119507,3.914984703063965,2.157805156630801,0.9970833333333332,1.0
custom_scm,decaf,known_dag,20,5,87.90597772598267,193.4602117538452,2.213257128940627,0.99825,1.0
custom_scm,decaf,known_dag,20,6,4.048657655715942,4.368971824645996,2.2883809323535047,0.99775,1.0
custom_scm,decaf,known_dag,20,7,3.96539568901062,4.3400115966796875,2.2157642697805753,0.99725,1.0
custom_scm,decaf,known_dag,20,8,3.9533560276031494,4.242925643920898,2.2274793573244382,0.9980833333333332,1.0
custom_scm,decaf,known_dag,20,9,3.707216024398804,4.030997037887573,2.1959409821661513,0.9969166666666665,1.0
custom_scm,decaf,known_dag,20,10,43.72850298881531,108.58559584617616,2.160286904539271,0.9871666666666666,1.0
custom_scm,decaf,known_dag,20,11,2.108790397644043,2.388364315032959,2.2702533407016987,0.9973333333333332,1.0
custom_scm,decaf,known_dag,20,12,2.183192729949951,2.4390532970428467,2.223913166801956,0.9976666666666668,1.0
custom_scm,decaf,known_dag,20,13,1.2918996810913086,1.602958917617798,2.247176856391906,0.9975,1.0
custom_scm,decaf,known_dag,20,14,1.813197135925293,2.0951006412506104,2.1710334912876297,0.9893333333333336,1.0
custom_scm,decaf,known_dag,20,15,43.081220626831055,108.66364860534668,2.1530335365846174,0.9964166666666668,1.0
custom_scm,decaf,known_dag,20,16,2.5856029987335205,2.89890456199646,2.1709488243616883,0.99725,1.0
custom_scm,decaf,known_dag,20,17,2.1356167793273926,2.489529848098755,2.207418902540334,0.9976666666666666,0.99975
custom_scm,decaf,known_dag,20,18,2.0783119201660156,2.397993326187134,2.1529769016311744,0.9957499999999998,1.0
custom_scm,decaf,known_dag,20,19,2.1128475666046143,2.4304111003875732,2.178726685090139,0.9883333333333332,1.0
custom_scm,decaf,known_dag,20,20,83.30699563026428,192.05799984931943,2.261969382581263,0.9965833333333332,1.0
custom_scm,decaf,known_dag,20,21,2.436399221420288,2.761972188949585,2.202665865825733,0.9980833333333332,1.0
custom_scm,decaf,known_dag,20,22,1.7488343715667725,2.089961290359497,2.165406873459318,0.99775,1.0
custom_scm,decaf,known_dag,20,23,1.6533899307250977,2.012690782546997,2.210417275335321,0.9975,1.0
custom_scm,decaf,known_dag,20,24,1.7481296062469482,2.0839955806732178,2.185822274496678,0.9974166666666668,1.0
custom_scm,decaf,known_dag,20,25,84.35998964309692,192.0410223007202,2.18127385109935,0.98925,1.0
custom_scm,decaf,known_dag,20,26,1.5622305870056152,1.8630154132843015,2.2120701534620593,0.9884166666666668,1.0
custom_scm,decaf,known_dag,20,27,2.355804681777954,2.715999126434326,2.192160731180019,0.9976666666666668,1.0
custom_scm,decaf,known_dag,20,28,2.2442471981048584,2.589172601699829,2.2253080939077043,0.9876666666666668,0.99975
custom_scm,decaf,known_dag,20,29,3.274744033813477,3.5970678329467773,2.2367360179525395,0.9975833333333334,1.0
custom_scm,decaf,known_dag,20,31,34.055362701416016,109.02953267097472,2.1660468102880035,0.9970833333333332,1.0
custom_scm,decaf,known_dag,20,32,1.5610010623931885,1.8758156299591064,2.2160229247887093,0.998,1.0
custom_scm,decaf,known_dag,20,33,3.3040883541107178,3.5820469856262207,2.230033317630158,0.9970833333333332,1.0
custom_scm,decaf,known_dag,20,34,3.86353063583374,4.165045738220215,2.235897539420503,0.99725,1.0
custom_scm,decaf,known_dag,20,35,1.2001056671142578,1.44010591506958,2.0874122331527003,0.99725,1.0
custom_scm,decaf,known_dag,20,36,33.01863622665405,108.99562621116638,2.2196227107393067,0.9874166666666668,1.0
custom_scm,decaf,known_dag,20,37,1.439971923828125,1.770543336868286,2.21135132214729,0.9978333333333332,1.0
custom_scm,decaf,known_dag,20,38,1.3878347873687744,1.6375234127044678,2.1915448623071283,0.99675,1.0
custom_scm,decaf,known_dag,20,39,2.0347743034362793,2.3196206092834473,2.121423129624636,0.9896666666666666,1.0
custom_scm,decaf,known_dag,20,40,2.178784132003784,2.5027995109558105,2.2030023144330486,0.99775,1.0
custom_scm,decaf,known_dag,20,41,76.844722032547,156.3779501914978,2.1470553057440567,0.9970833333333332,1.0
custom_scm,decaf,known_dag,20,42,2.049835443496704,2.356039762496948,2.1933492993352033,0.9968333333333332,1.0
custom_scm,decaf,known_dag,20,43,2.273343563079834,2.631774425506592,2.3066714670858306,0.9979166666666668,1.0
custom_scm,decaf,known_dag,20,44,2.07340145111084,2.4250309467315674,2.1290435504802696,0.9891666666666666,1.0
custom_scm,decaf,known_dag,20,45,2.0043938159942627,2.3390140533447266,2.265639855852382,0.996,1.0
custom_scm,decaf,known_dag,20,46,41.46406245231629,106.20849084854126,2.2140513353570586,0.9969166666666668,1.0
custom_scm,decaf,known_dag,20,47,1.7879509925842283,2.047839879989624,2.2330313167401377,0.9975,1.0
