dataset,train_size,tabpfn_method,n_pairs,median_raw_nnaa_diff_tabularargn_minus_tabpfn,p_raw,p_holm_raw_25_by_method
csuite_large_backdoor,20,TabPFN DAG-aware,100,0.3212499999999999,1.9471811497364043e-18,4.863560837422746e-17
csuite_large_backdoor,20,TabPFN vanilla original,100,0.305,1.94729100057835e-18,4.860817722147914e-17
csuite_large_backdoor,20,TabPFN vanilla topological,100,0.304375,1.9471811497364043e-18,4.8630120970003624e-17
csuite_large_backdoor,50,TabPFN DAG-aware,100,0.28374999999999995,1.9471811497364043e-18,4.863560837422746e-17
csuite_large_backdoor,50,TabPFN vanilla original,100,0.267875,1.946741805108823e-18,4.860817722147914e-17
csuite_large_backdoor,50,TabPFN vanilla topological,100,0.27225,1.94729100057835e-18,4.8630120970003624e-17
csuite_large_backdoor,100,TabPFN DAG-aware,100,0.27924999999999994,1.9474008572948366e-18,4.863560837422746e-17
csuite_large_backdoor,100,TabPFN vanilla original,100,0.2672500000000001,1.946631983635448e-18,4.860817722147914e-17
csuite_large_backdoor,100,TabPFN vanilla topological,100,0.27574999999999994,1.9463025544510582e-18,4.8630120970003624e-17
csuite_large_backdoor,200,TabPFN DAG-aware,100,0.286125,1.946412358306839e-18,4.863560837422746e-17
csuite_large_backdoor,200,TabPFN vanilla original,100,0.27999999999999997,1.94707130476883e-18,4.860817722147914e-17
csuite_large_backdoor,200,TabPFN vanilla topological,100,0.2855,1.9474008572948366e-18,4.8630120970003624e-17
csuite_large_backdoor,500,TabPFN DAG-aware,100,0.29787500000000006,1.9461927564671635e-18,4.863560837422746e-17
csuite_large_backdoor,500,TabPFN vanilla original,100,0.29449999999999993,1.9468516324553056e-18,4.860817722147914e-17
csuite_large_backdoor,500,TabPFN vanilla topological,100,0.29662499999999997,1.9465221680348982e-18,4.8630120970003624e-17
csuite_mixed_confounding,20,TabPFN DAG-aware,100,0.292,1.947840342912769e-18,4.863560837422746e-17
csuite_mixed_confounding,20,TabPFN vanilla original,100,0.253125,1.947950229006717e-18,4.860817722147914e-17
csuite_mixed_confounding,20,TabPFN vanilla topological,100,0.25825000000000004,1.947950229006717e-18,4.8630120970003624e-17
csuite_mixed_confounding,50,TabPFN DAG-aware,100,0.19025000000000009,1.946741805108823e-18,4.863560837422746e-17
csuite_mixed_confounding,50,TabPFN vanilla original,100,0.15225,1.94729100057835e-18,4.860817722147914e-17
csuite_mixed_confounding,50,TabPFN vanilla topological,100,0.16687499999999994,1.94729100057835e-18,4.8630120970003624e-17
csuite_mixed_confounding,100,TabPFN DAG-aware,100,0.18425000000000002,1.9475107198862834e-18,4.863560837422746e-17
csuite_mixed_confounding,100,TabPFN vanilla original,100,0.15537499999999999,1.946961465675205e-18,4.860817722147914e-17
csuite_mixed_confounding,100,TabPFN vanilla topological,100,0.1735,1.946961465675205e-18,4.8630120970003624e-17
csuite_mixed_confounding,200,TabPFN DAG-aware,100,0.17850000000000005,1.946741805108823e-18,4.863560837422746e-17
csuite_mixed_confounding,200,TabPFN vanilla original,100,0.15887499999999993,1.9475107198862834e-18,4.860817722147914e-17
csuite_mixed_confounding,200,TabPFN vanilla topological,100,0.17299999999999993,1.9463025544510582e-18,4.8630120970003624e-17
csuite_mixed_confounding,500,TabPFN DAG-aware,100,0.18124999999999997,1.9463025544510582e-18,4.863560837422746e-17
csuite_mixed_confounding,500,TabPFN vanilla original,100,0.16849999999999998,1.946631983635448e-18,4.860817722147914e-17
csuite_mixed_confounding,500,TabPFN vanilla topological,100,0.17737500000000006,1.9475107198862834e-18,4.8630120970003624e-17
csuite_symprod_simpson,20,TabPFN DAG-aware,100,0.34737500000000004,1.9477304626949193e-18,4.863560837422746e-17
csuite_symprod_simpson,20,TabPFN vanilla original,100,0.331875,1.9481700188239655e-18,4.860817722147914e-17
csuite_symprod_simpson,20,TabPFN vanilla topological,100,0.346375,1.947840342912769e-18,4.8630120970003624e-17
csuite_symprod_simpson,50,TabPFN DAG-aware,100,0.355,1.9476205883528185e-18,4.863560837422746e-17
csuite_symprod_simpson,50,TabPFN vanilla original,100,0.34624999999999995,1.9471811497364043e-18,4.860817722147914e-17
csuite_symprod_simpson,50,TabPFN vanilla topological,100,0.35387500000000005,1.9468516324553056e-18,4.8630120970003624e-17
csuite_symprod_simpson,100,TabPFN DAG-aware,100,0.361,1.94707130476883e-18,4.863560837422746e-17
csuite_symprod_simpson,100,TabPFN vanilla original,100,0.35774999999999996,1.9459731781139918e-18,4.860817722147914e-17
csuite_symprod_simpson,100,TabPFN vanilla topological,100,0.36099999999999993,1.945204838800145e-18,4.8630120970003624e-17
csuite_symprod_simpson,200,TabPFN DAG-aware,100,0.367625,1.9457536232449796e-18,4.863560837422746e-17
csuite_symprod_simpson,200,TabPFN vanilla original,100,0.36549999999999994,1.9474008572948366e-18,4.860817722147914e-17
csuite_symprod_simpson,200,TabPFN vanilla topological,100,0.36725,1.9468516324553056e-18,4.8630120970003624e-17
csuite_symprod_simpson,500,TabPFN DAG-aware,100,0.37337500000000007,1.9465221680348982e-18,4.863560837422746e-17
csuite_symprod_simpson,500,TabPFN vanilla original,100,0.373,1.946961465675205e-18,4.860817722147914e-17
csuite_symprod_simpson,500,TabPFN vanilla topological,100,0.37312500000000004,1.946631983635448e-18,4.8630120970003624e-17
custom_scm,20,TabPFN DAG-aware,100,0.444375,1.94707130476883e-18,4.863560837422746e-17
custom_scm,20,TabPFN vanilla original,100,0.43437500000000007,1.9476205883528185e-18,4.860817722147914e-17
custom_scm,20,TabPFN vanilla topological,100,0.45037499999999997,1.94707130476883e-18,4.8630120970003624e-17
custom_scm,50,TabPFN DAG-aware,100,0.465125,1.9456438546163148e-18,4.863560837422746e-17
custom_scm,50,TabPFN vanilla original,100,0.458125,1.944875638563144e-18,4.860817722147914e-17
custom_scm,50,TabPFN vanilla topological,100,0.462625,1.9457536232449796e-18,4.8630120970003624e-17
custom_scm,100,TabPFN DAG-aware,100,0.46712499999999996,1.9456438546163148e-18,4.863560837422746e-17
custom_scm,100,TabPFN vanilla original,100,0.463375,1.9476205883528185e-18,4.860817722147914e-17
custom_scm,100,TabPFN vanilla topological,100,0.46537500000000004,1.94707130476883e-18,4.8630120970003624e-17
custom_scm,200,TabPFN DAG-aware,100,0.464,1.9468516324553056e-18,4.863560837422746e-17
custom_scm,200,TabPFN vanilla original,100,0.46225000000000005,1.9444367870655995e-18,4.860817722147914e-17
custom_scm,200,TabPFN vanilla topological,100,0.4655,1.946412358306839e-18,4.8630120970003624e-17
custom_scm,500,TabPFN DAG-aware,100,0.468375,1.9454243349690984e-18,4.863560837422746e-17
custom_scm,500,TabPFN vanilla original,100,0.46512500000000007,1.9463025544510582e-18,4.860817722147914e-17
custom_scm,500,TabPFN vanilla topological,100,0.46699999999999997,1.9455340918577673e-18,4.8630120970003624e-17
custom_scm_noise1e-2,20,TabPFN DAG-aware,100,0.437125,1.94707130476883e-18,4.863560837422746e-17
custom_scm_noise1e-2,20,TabPFN vanilla original,100,0.42774999999999996,1.946631983635448e-18,4.860817722147914e-17
custom_scm_noise1e-2,20,TabPFN vanilla topological,100,0.443,1.9476205883528185e-18,4.8630120970003624e-17
custom_scm_noise1e-2,50,TabPFN DAG-aware,100,0.45875,1.9457536232449796e-18,4.863560837422746e-17
custom_scm_noise1e-2,50,TabPFN vanilla original,100,0.45449999999999996,1.9463025544510582e-18,4.860817722147914e-17
custom_scm_noise1e-2,50,TabPFN vanilla topological,100,0.45825000000000005,1.9460829643549015e-18,4.8630120970003624e-17
custom_scm_noise1e-2,100,TabPFN DAG-aware,100,0.46187500000000004,1.946741805108823e-18,4.863560837422746e-17
custom_scm_noise1e-2,100,TabPFN vanilla original,100,0.45987500000000003,1.9463025544510582e-18,4.860817722147914e-17
custom_scm_noise1e-2,100,TabPFN vanilla topological,100,0.46087500000000003,1.9465221680348982e-18,4.8630120970003624e-17
