dataset,metric,cells,tabpfn_better_cells,median_tabularargn_loss,median_tabpfn_loss,significant_cells_holm_0p05,median_loss_ratio_tabularargn_over_tabpfn,min_loss_ratio_tabularargn_over_tabpfn,max_loss_ratio_tabularargn_over_tabpfn
csuite_large_backdoor,CMD,5,5,3.544252056713829,0.5382542147400573,5,6.600006042604817,2.6450816797259713,11.767975506928861
csuite_mixed_confounding,CMD,5,5,2.12012120193882,0.4440474603941079,5,4.7999936978896995,2.1882720710607666,5.765068469635688
csuite_symprod_simpson,CMD,5,5,2.283715014075943,0.19594611500465187,5,11.668468830582077,6.836941660078133,23.790694292585865
custom_scm,CMD,5,5,2.210342690463134,0.085920047690749,5,25.748658298091122,16.329518520317375,29.960781176373967
custom_scm_noise1e-2,CMD,5,5,2.2089245337398316,0.08758565503736455,5,25.260155350368823,16.064713569185113,29.593717004622697
csuite_large_backdoor,NNAA |x-0.5|,5,5,0.32512499999999994,0.0437499999999999,5,7.4314285714285875,3.2634361233480176,23.94230769230779
csuite_mixed_confounding,NNAA |x-0.5|,5,5,0.22087499999999993,0.03712499999999995,5,5.949494949494956,3.176845943482226,14.277777777777885
csuite_symprod_simpson,NNAA |x-0.5|,5,5,0.3963749999999999,0.03399999999999995,5,11.658088235294134,4.007543103448277,37.99999999999999
custom_scm,NNAA |x-0.5|,5,5,0.4761249999999999,0.0097499999999999,5,48.58974358974409,10.624324324324345,85.88636363636363
custom_scm_noise1e-2,NNAA |x-0.5|,5,5,0.4751249999999999,0.01337499999999995,5,35.52336448598144,9.250000000000016,67.3928571428581
csuite_large_backdoor,kMTVD,5,5,0.43265972222222215,0.2628125,5,1.6462676707623196,1.3825601713544897,2.625495750708215
csuite_mixed_confounding,kMTVD,5,5,0.41882142857142857,0.16497348484848484,5,2.5387196551984283,2.0736471076093723,3.9386923114569563
csuite_symprod_simpson,kMTVD,5,5,0.5600416666666667,0.23616666666666664,5,2.4438443208895952,2.3713832039520115,2.6197723494052956
custom_scm,kMTVD,5,5,0.5219166666666667,0.2218333333333333,5,2.352742299023291,2.110871694417238,3.3111289031224977
custom_scm_noise1e-2,kMTVD,5,5,0.510375,0.22708333333333336,5,2.2475229357798163,2.0200764818355648,3.222326454033771
