seed	synthetic_file	sha256
0	synthetic_tabularargn_unconditional_ts20_s0.npz	d4d526b68c583bab13b4fcd583d0363cc2a1a0acb362015deed75de6db9c9e07
6	synthetic_tabularargn_unconditional_ts20_s6.npz	18d3453b4ac13d62af90c79bddb64691f59906296395a47fc0fb27e523bdfe8b
7	synthetic_tabularargn_unconditional_ts20_s7.npz	a614ddba8c19511afe2a4b419d59e8fe3719b9c1d5ce317dcb94d9c5acba227c
9	synthetic_tabularargn_unconditional_ts20_s9.npz	6f51696bcff3fa4b138766e15ed80612649cf492eabf0d2d18cafabfbe366880
11	synthetic_tabularargn_unconditional_ts20_s11.npz	00a4d83acd5353e7c1b624708c99cfc8ca2de6a01aba1b8e27e5187f44d040d9
12	synthetic_tabularargn_unconditional_ts20_s12.npz	2ca450e60477d3b2e628e702989768232c59de920e8831490d0b55faebb5c6d3
13	synthetic_tabularargn_unconditional_ts20_s13.npz	6e743ef1ba39bfabf9d23d6573d4353e4c9504eb42528bbe5e7c6af897b24e58
15	synthetic_tabularargn_unconditional_ts20_s15.npz	50489688deec29225b84f405018cd52d36d747eaebe78188cd26e6be6d185d64
16	synthetic_tabularargn_unconditional_ts20_s16.npz	deda9f76a9d81cf97d265bd21777367f1ec56d38f615c6684477c50d84966ba7
21	synthetic_tabularargn_unconditional_ts20_s21.npz	2663012aa6ad0b32769a5ca9dbca250e3978b1873dfe14715a036e9274081389
22	synthetic_tabularargn_unconditional_ts20_s22.npz	10da947063ecf1b54b4ba2dee5be5962ebf467d7db1f243ad8cbeb4774cee6ec
23	synthetic_tabularargn_unconditional_ts20_s23.npz	8d370863c236641b6232e6dca2aaac5bbe2320d4ee082acc621ff1f772587dbb
24	synthetic_tabularargn_unconditional_ts20_s24.npz	22b9673a4eb86f80a916d19b43a3f8943d6520500e13304ad5e0b96eae91c089
25	synthetic_tabularargn_unconditional_ts20_s25.npz	ddc5a5cb26298ba62012c9b83d9edabc30899dca52042d951c35a42538274357
28	synthetic_tabularargn_unconditional_ts20_s28.npz	c2325f02411a3f64674c8b5b4521d5fd1942c39d9171c4c6312dd7f591b2deeb
29	synthetic_tabularargn_unconditional_ts20_s29.npz	ee4db7cae5c4fb59f1aa693eb460eca67afaf58951e037d869811a62e1a3f740
32	synthetic_tabularargn_unconditional_ts20_s32.npz	b99439f901395f0014c48c42e42e859c28ab26d91b695c99e5894dbb59444449
41	synthetic_tabularargn_unconditional_ts20_s41.npz	13b2144103ed0e9ea738fdf14d72eae8ab202eca470c52e68e9d3b6a599ece26
42	synthetic_tabularargn_unconditional_ts20_s42.npz	5a5142a03773884a3279a75c8805efd44539736868a0f99dcce5d189e352a168
43	synthetic_tabularargn_unconditional_ts20_s43.npz	c22eaa2e6d37b6dc7f999c520549ba1388a1cdd77f556b16091dd40f3e5f7c4d
44	synthetic_tabularargn_unconditional_ts20_s44.npz	478918dcea865ff06fbadd76c8834404dbffb44fcfa6d5d5fe4acfd11665e263
50	synthetic_tabularargn_unconditional_ts20_s50.npz	fed98328e04aeb60832bd505425185263a9810d562026259d90608b712cfa859
52	synthetic_tabularargn_unconditional_ts20_s52.npz	69a5c24f832fa7c0523cfa04bbed8a9019d42c38df70c23b53cf7e8911d4d7c6
53	synthetic_tabularargn_unconditional_ts20_s53.npz	74ec1a627ca0d7db4d2e73698e1f79474228800dba03169f0403fb9b4f398510
65	synthetic_tabularargn_unconditional_ts20_s65.npz	0250dcc210b413ef6f5008f6acb2069f2f468a4e7b8a805be1791e7ef029e0a2
67	synthetic_tabularargn_unconditional_ts20_s67.npz	e1cfbcae1a6dd4f758c5d50e9a2db272c988cd6dcf5478304d1948327561fd4d
68	synthetic_tabularargn_unconditional_ts20_s68.npz	11a5bdf6ef6392f92891556912b2b5b1fb0a0c48b7bf2dde3b84c0780d889782
71	synthetic_tabularargn_unconditional_ts20_s71.npz	50b6af7e00a5c66e1c8af4f9460bdbd06e0b4d7c74f06a2c1350dd2417f783a5
73	synthetic_tabularargn_unconditional_ts20_s73.npz	b46a61d5c087859f4d51c69a09154f7cf902805d13e266ed88a47ec5abe97a1a
75	synthetic_tabularargn_unconditional_ts20_s75.npz	b80f31cd4420c56fc5260fe57db06520ecc8a6120cfef5831c77616317337a55
86	synthetic_tabularargn_unconditional_ts20_s86.npz	99d9a266237360203b03793b70b06fdcfaa340f0dc5d7a484d852a95aa8520b9
90	synthetic_tabularargn_unconditional_ts20_s90.npz	333a1b6c2815699f92be3ce8a97b86d77f97b507ea58bf8227aa6097a1aed330
92	synthetic_tabularargn_unconditional_ts20_s92.npz	e0c7a812d552ac1270e8485c8a3d67bc9250df0318ef3f342060badf5ab682c4
95	synthetic_tabularargn_unconditional_ts20_s95.npz	109b2e706e257162c81f56847b76a5d3095052a86af469ef3d17951b01e0a43b
98	synthetic_tabularargn_unconditional_ts20_s98.npz	b22f41665068aa059db77f8da05fe30d00b5eef46c05ac1d44f356ded3c737d6
101	synthetic_tabularargn_unconditional_ts20_s101.npz	228a7fc15b3e7f83cd6a9ee8ac2cced8462807ea0043de88a4dd256cf6bb1f03
